Tên,Ảnh,Chỉ số,Nội tại đặc biệt,Thiết y,Tố Vấn,Huyết Hà,Toái Mộng,Cửu Linh,Thần Tương,Ghi chú đặc biệt
Thái Sơn Di,,"ADCrit +56
APCrit +56
Ngto +168
Khắc phái +215
Kháng phái +215
Nguyên tố +82
ATKmin +116
ATKmax +142","Kháng/Khắc phái +25 khi có 1 đồng đội cùng mặc trang bị này ở cạnh, tối đa +750 khi trong bang chiến nếu ai cũng đeo",5,5,5,5,5,5,Toàn bộ member trong bang phải đeo
Chu Môn Hận,,"AD +198-242
AP +198-242
ChXác ngoại +73
ChXác nội +73
Thân pháp +19
Khắc phái +215
Kháng phái +215
Phá khiên +114","Kháng phái +160
Gấp đôi nếu không có đồng đội ở gần",4.9,4.9,4.9,5,4.9,4.9,
Áo Mục Dã Di,,,"Tăng 5% sth khi đánh địch có trên 70% HP
Giảm heal địch dưới 30% HP",3,3.5,4,5,3.9,3,
Áo Hỏa Diệm Vi Công,,"Hỏa công +69
Kháng Hỏa +234
Khiên khí +170","Dưới 50% HP giảm 30% sth hỏa
Dưới 25% HP giảm 60% sth hỏa",4.8,4.8,5,3.8,4,4.4,
Áo Tiên Cư Nguyên,,"Cho khoảng 125 - 150 nguyên tố (nếu trước khi lắp có 700 - 1200 nguyên tố)
Cho khoảng 360 - 600 def (nếu trước khi lắp có 3000 - 7000 def) ","Giảm 40 kháng nguyên tố, tăng 320 thủ 
",4.6,4.9,4,4,4.3,4.6,Bị thần tương gõ đầu nhưng chịu dame mấy đứa khác tốt hơn
Đai chủng sư đạo,,"Căn cốt +19
Sức bền +19
","Trừ 200 kháng thần tương, tố vấn",2,3.8,2,4,4.2,4.3,"Đeo vào để bị thần tương đánh đau thêm 10%, đổi lại 1 tí nguyên tố như muối bỏ biển"
Giày Truy Mệnh,,,,3,4.8,4,2.5,5,4.9,
Kiếm phó bản 1,,,,2,3.5,3.5,3.5,3.5,3.5,
Dây chuyền tân tuế,,,,4.5,4.5,4.5,4.5,4.5,4.5,
Áo Sở Tương Ngọc,,,,1,1,4,1,1,4.5,
Mũ Thiết Thủ,,,,4,2,2,2,2,2,
Giày Hồng Tụ,,,,3,1,1,4.3,1,1,
Dây Chuyền Mục Dã Di,,,,3.5,4.5,4.5,4.5,4.5,4.5,
Kiếm mộng 3,,,,3,3,3,3,3,3,
Kiếm mộng 4,,,,3.5,4,3.5,3.5,3.5,3.5,
Nhẫn Rồng,,,,4,4,4,4,4,4,Team đẩy lẻ
